user,state,action,url,date_time,date,device,city,country
user 1,1,,B,6/13/2022 0:05:45576,2022-06-13,Android 12.0,Quebec,Canada
user 2,,Action 1,A,6/13/2022 0:05:46398,2022-06-13,,,
user 1,1,,B,6/13/2022 0:05:49339,2022-06-13,Android 12.0,Quebec,Canada
user 1,1,,B,6/13/2022 0:05:52960,2022-06-13,Android 12.0,Quebec,Canada
user 2,2,,C,6/13/2022 0:05:57234,2022-06-13,Android 2.0,Quebec,Canada
user 1,1,,B,6/13/2022 0:05:58477,2022-06-13,Android 12.0,Quebec,Canada
user 2,2,,C,6/13/2022 0:06:06809,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,C,6/13/2022 0:06:13388,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,C,6/13/2022 0:06:18234,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,D,6/13/2022 0:06:37264,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,D,6/13/2022 0:06:41176,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,D,6/13/2022 0:06:42728,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,D,6/13/2022 0:06:44120,2022-06-13,Android 2.0,Quebec,Canada
user 2,2,,D,6/13/2022 0:06:49950,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,D,6/13/2022 0:06:54329,2022-06-13,Android 2.0,Quebec,Canada
user 2,1,,D,6/13/2022 0:06:56655,2022-06-13,Android 2.0,Quebec,Canada
user 3,2,,E,6/13/2022 0:21:16661,2022-06-13,LG-M703,Quebec,Canada
user 3,2,,E,6/13/2022 0:21:20404,2022-06-13,LG-M703,Quebec,Canada
user 3,2,,E,6/13/2022 0:21:22842,2022-06-13,LG-M703,Quebec,Canada
user 3,4,,E,6/13/2022 0:21:26453,2022-06-13,LG-M703,Quebec,Canada
user 4,2,,E,6/13/2022 0:34:22347,2022-06-13,SM-J327W,Quebec,Canada
user 4,2,,E,6/13/2022 0:34:25453,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:34:28359,2022-06-13,SM-J327W,Quebec,Canada
user 4,2,,E,6/13/2022 0:34:32685,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:34:40485,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:34:42606,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:34:51608,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:34:56502,2022-06-13,SM-J327W,Quebec,Canada
user 4,2,,E,6/13/2022 0:34:58973,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:35:01579,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:35:03132,2022-06-13,SM-J327W,Quebec,Canada
user 4,2,,E,6/13/2022 0:35:04368,2022-06-13,SM-J327W,Quebec,Canada
user 4,2,,E,6/13/2022 0:35:08661,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:35:11734,2022-06-13,SM-J327W,Quebec,Canada
user 4,1,,E,6/13/2022 0:35:15709,2022-06-13,SM-J327W,Quebec,Canada
user 5,,Action 2,F,6/13/2022 0:36:15870,2022-06-13,,,
user 6,,Action 2,A,6/13/2022 0:37:29347,2022-06-13,,,
user 7,4,,B,6/13/2022 0:42:30231,2022-06-13,iPhone,Quebec,Canada
user 8,1,,A,6/13/2022 0:53:37657,2022-06-13,Android 2.0,,Canada
user 8,1,,A,6/13/2022 0:53:39480,2022-06-13,Android 2.0,,Canada
user 8,2,,A,6/13/2022 0:53:43716,2022-06-13,Android 2.0,,Canada
user 8,1,,A,6/13/2022 0:53:49466,2022-06-13,Android 2.0,,Canada
user 8,,Action 3,A,6/13/2022 0:53:52123,2022-06-13,,,
user 9,3,,D,6/13/2022 0:55:55235,2022-06-13,iPhone,Quebec,Canada
user 10,2,,G,6/13/2022 0:55:57874,2022-06-13,SM-G973W,New Brunswick,Canada
user 9,3,,D,6/13/2022 0:55:57885,2022-06-13,iPhone,Quebec,Canada
