date,start_station_code,total_count,member_count,non_member_count
2018-08-31,4000,1622,1421,201
2018-08-31,4001,1372,362,1010
2018-08-31,4002,3149,2662,487
2018-08-31,5002,86,54,32
2018-08-31,5003,72,39,33
2018-08-31,5004,98,75,23
2018-08-31,5005,143,89,54
2018-08-31,5006,194,137,57
2018-08-31,5007,584,421,163
2018-08-31,6001,2114,1614,500
2018-08-31,6002,1017,862,155
2018-08-31,6003,2135,1668,467
2018-08-31,6004,2289,1358,931
2018-08-31,6005,1930,1463,467
2018-08-31,6006,631,515,116
2018-08-31,6007,1482,1001,481
2018-08-31,6008,2174,1674,500
2018-08-31,6009,3410,2220,1190
2018-08-31,6011,2090,1715,375
2018-08-31,6012,4834,3475,1359
2018-08-31,6013,2309,1731,578
2018-08-31,6015,6498,4892,1606
2018-08-31,6016,341,251,90
2018-08-31,6017,959,864,95
2018-08-31,6018,1901,1585,316
2018-08-31,6019,4150,3542,608
2018-08-31,6020,2353,1720,633
2018-08-31,6021,2790,2245,545
2018-08-31,6022,1758,1538,220
2018-08-31,6023,5140,2553,2587
2018-08-31,6024,1295,1167,128
2018-08-31,6025,1272,685,587
2018-08-31,6026,6775,2193,4582
2018-08-31,6027,2530,2143,387
2018-08-31,6029,762,695,67
2018-08-31,6031,1510,812,698
2018-08-31,6032,2409,1381,1028
2018-08-31,6033,389,345,44
2018-08-31,6034,2140,1520,620
2018-08-31,6035,683,527,156
2018-08-31,6036,5531,2258,3273
2018-08-31,6037,1804,1018,786
2018-08-31,6038,2792,2063,729
2018-08-31,6039,2403,1755,648
2018-08-31,6040,1762,1183,579
2018-08-31,6041,2327,1935,392
2018-08-31,6042,2271,1994,277
2018-08-31,6043,3649,3125,524
2018-08-31,6046,2925,2694,231
2018-08-31,6047,1697,1388,309
2018-08-31,6048,1283,1141,142
2018-08-31,6049,2418,2193,225
2018-08-31,6050,5137,2151,2986
2018-08-31,6051,767,707,60
2018-08-31,6052,4953,2990,1963
2018-08-31,6053,1290,1173,117
2018-08-31,6057,2561,2093,468
2018-08-31,6058,2397,1938,459
2018-08-31,6059,1984,1647,337
2018-08-31,6060,573,458,115
2018-08-31,6061,3021,2408,613
2018-08-31,6062,2171,1518,653
2018-08-31,6063,3304,2667,637
2018-08-31,6064,7754,6354,1400
2018-08-31,6065,2011,1576,435
2018-08-31,6066,1057,490,567
2018-08-31,6067,4214,3616,598
2018-08-31,6068,1680,1270,410
2018-08-31,6070,5055,4144,911
2018-08-31,6072,2311,1943,368
2018-08-31,6073,4180,3499,681
2018-08-31,6075,1134,768,366
2018-08-31,6076,487,416,71
2018-08-31,6078,3169,2402,767
2018-08-31,6079,2220,1760,460
2018-08-31,6080,2178,1802,376
2018-08-31,6081,2526,1916,610
2018-08-31,6082,639,557,82
2018-08-31,6083,2126,1814,312
2018-08-31,6084,1223,882,341
2018-08-31,6085,2176,1769,407
2018-08-31,6086,487,404,83
2018-08-31,6087,2708,2260,448
2018-08-31,6088,1720,1364,356
2018-08-31,6089,1224,1120,104
2018-08-31,6090,1957,1263,694
2018-08-31,6091,1394,1179,215
2018-08-31,6092,2798,2219,579
2018-08-31,6093,1119,930,189
2018-08-31,6094,1706,1501,205
2018-08-31,6095,2869,2375,494
2018-08-31,6096,1654,1461,193
2018-08-31,6097,2429,1893,536
2018-08-31,6098,2002,1533,469
2018-08-31,6099,2782,1862,920
2018-08-31,6100,9307,7998,1309
2018-08-31,6101,1247,1139,108
2018-08-31,6102,1199,1059,140
2018-08-31,6103,750,654,96
2018-08-31,6104,2958,2502,456
2018-08-31,6105,1456,1193,263
2018-08-31,6106,991,686,305
2018-08-31,6107,3183,2451,732
2018-08-31,6108,1299,1129,170
2018-08-31,6109,636,147,489
2018-08-31,6110,1054,860,194
2018-08-31,6111,1375,1144,231
2018-08-31,6112,3483,2839,644
2018-08-31,6113,2506,2103,403
2018-08-31,6114,4504,3498,1006
2018-08-31,6115,703,621,82
2018-08-31,6116,1890,1570,320
2018-08-31,6117,1227,1097,130
2018-08-31,6118,2517,2125,392
2018-08-31,6119,3093,2541,552
2018-08-31,6121,1367,1173,194
2018-08-31,6122,613,537,76
2018-08-31,6123,888,695,193
2018-08-31,6124,2040,1705,335
2018-08-31,6125,775,634,141
2018-08-31,6126,1148,1011,137
2018-08-31,6127,1846,1618,228
2018-08-31,6128,1073,950,123
2018-08-31,6129,2136,1834,302
2018-08-31,6130,1152,964,188
2018-08-31,6131,2917,2436,481
2018-08-31,6132,1409,1248,161
2018-08-31,6133,2248,1914,334
2018-08-31,6134,1269,1054,215
2018-08-31,6136,7590,6817,773
2018-08-31,6137,3001,2572,429
2018-08-31,6138,1832,1607,225
2018-08-31,6140,3025,2596,429
2018-08-31,6141,2712,2245,467
2018-08-31,6142,3497,2561,936
2018-08-31,6143,3649,2437,1212
2018-08-31,6145,2549,2087,462
2018-08-31,6146,2442,1786,656
2018-08-31,6147,3001,2509,492
2018-08-31,6148,3562,3037,525
2018-08-31,6149,1450,1240,210
2018-08-31,6150,2430,2064,366
2018-08-31,6151,2761,2349,412
2018-08-31,6152,3895,3317,578
2018-08-31,6153,1368,1219,149
2018-08-31,6154,5599,4954,645
2018-08-31,6155,4501,3934,567
2018-08-31,6156,2305,1979,326
2018-08-31,6157,4031,3228,803
2018-08-31,6158,2197,1936,261
2018-08-31,6159,1719,1411,308
2018-08-31,6160,1887,1648,239
2018-08-31,6161,363,328,35
2018-08-31,6162,856,713,143
2018-08-31,6163,3624,3041,583
2018-08-31,6164,3177,2817,360
2018-08-31,6165,4028,3165,863
2018-08-31,6166,2635,2342,293
2018-08-31,6167,1325,1132,193
2018-08-31,6168,1122,1023,99
2018-08-31,6169,4766,3939,827
2018-08-31,6170,2182,1805,377
2018-08-31,6171,1492,1203,289
2018-08-31,6173,4366,3640,726
2018-08-31,6174,3398,2712,686
2018-08-31,6175,3803,3333,470
2018-08-31,6176,2952,2085,867
2018-08-31,6177,2472,1931,541
2018-08-31,6178,3663,2908,755
2018-08-31,6179,3065,2396,669
2018-08-31,6180,1686,1163,523
2018-08-31,6181,4036,3192,844
2018-08-31,6182,2117,1650,467
2018-08-31,6183,3161,2485,676
2018-08-31,6184,8135,6840,1295
2018-08-31,6185,655,594,61
2018-08-31,6186,2477,2143,334
2018-08-31,6187,3622,2914,708
2018-08-31,6188,1689,1472,217
2018-08-31,6189,836,740,96
2018-08-31,6190,3136,2807,329
2018-08-31,6191,1818,1316,502
2018-08-31,6192,1535,1375,160
2018-08-31,6193,3431,2696,735
2018-08-31,6194,5349,4497,852
2018-08-31,6195,2744,2249,495
2018-08-31,6196,3534,2796,738
2018-08-31,6197,2377,2062,315
2018-08-31,6198,821,705,116
2018-08-31,6199,2984,2353,631
2018-08-31,6200,2495,2026,469
2018-08-31,6201,2468,2125,343
2018-08-31,6202,3737,3152,585
2018-08-31,6203,3303,2630,673
2018-08-31,6204,1492,1206,286
2018-08-31,6205,2110,1629,481
2018-08-31,6206,4378,3565,813
2018-08-31,6207,937,775,162
2018-08-31,6208,2093,1604,489
2018-08-31,6209,3936,3158,778
2018-08-31,6210,1050,931,119
2018-08-31,6211,4855,3483,1372
2018-08-31,6212,2055,1431,624
2018-08-31,6213,3584,2690,894
2018-08-31,6214,4101,3226,875
2018-08-31,6215,1715,1343,372
2018-08-31,6216,5253,3045,2208
2018-08-31,6217,3503,2765,738
2018-08-31,6218,2301,1806,495
2018-08-31,6219,2039,1757,282
2018-08-31,6220,3120,2501,619
2018-08-31,6221,6339,5294,1045
2018-08-31,6222,1898,1359,539
2018-08-31,6223,3740,2668,1072
2018-08-31,6224,2442,1879,563
2018-08-31,6225,2606,2053,553
2018-08-31,6226,703,637,66
2018-08-31,6227,4920,3977,943
2018-08-31,6228,896,680,216
2018-08-31,6229,2382,2047,335
2018-08-31,6230,3066,2407,659
2018-08-31,6231,3427,2441,986
2018-08-31,6232,1384,1141,243
2018-08-31,6233,3445,2549,896
2018-08-31,6234,3002,2216,786
2018-08-31,6235,2101,1875,226
2018-08-31,6236,2755,2370,385
2018-08-31,6237,1951,1738,213
2018-08-31,6240,652,581,71
2018-08-31,6241,1764,1450,314
2018-08-31,6243,2386,1988,398
2018-08-31,6245,1295,1120,175
2018-08-31,6246,1595,1347,248
2018-08-31,6247,3198,2558,640
2018-08-31,6248,4885,3934,951
2018-08-31,6249,1762,1495,267
2018-08-31,6250,3967,2803,1164
2018-08-31,6251,1221,978,243
2018-08-31,6252,2056,1721,335
2018-08-31,6253,1894,1694,200
2018-08-31,6254,1842,1575,267
2018-08-31,6255,2460,2109,351
2018-08-31,6257,1263,1057,206
2018-08-31,6258,2259,1936,323
2018-08-31,6259,1430,1207,223
2018-08-31,6260,1524,1245,279
2018-08-31,6261,1370,1182,188
2018-08-31,6262,1406,1170,236
2018-08-31,6263,770,637,133
2018-08-31,6264,1067,937,130
2018-08-31,6265,1231,1100,131
2018-08-31,6266,1809,1561,248
2018-08-31,6267,1447,1254,193
2018-08-31,6268,1446,1271,175
2018-08-31,6269,145,122,23
2018-08-31,6270,1091,965,126
2018-08-31,6271,2158,1795,363
2018-08-31,6272,874,739,135
2018-08-31,6273,858,794,64
2018-08-31,6274,1320,1164,156
2018-08-31,6275,1056,940,116
2018-08-31,6276,1304,1109,195
2018-08-31,6277,707,624,83
2018-08-31,6278,630,555,75
2018-08-31,6279,623,559,64
2018-08-31,6280,3561,2710,851
2018-08-31,6281,1464,1284,180
2018-08-31,6301,714,560,154
2018-08-31,6302,699,465,234
2018-08-31,6303,512,432,80
2018-08-31,6304,566,491,75
2018-08-31,6305,684,562,122
2018-08-31,6306,1927,1657,270
2018-08-31,6307,2649,2156,493
2018-08-31,6309,657,569,88
2018-08-31,6310,1836,1582,254
2018-08-31,6311,1333,1169,164
2018-08-31,6312,693,566,127
2018-08-31,6313,1382,1028,354
2018-08-31,6314,1851,1707,144
2018-08-31,6315,1539,1156,383
2018-08-31,6316,1664,1185,479
2018-08-31,6321,2965,2463,502
2018-08-31,6322,837,727,110
2018-08-31,6323,567,487,80
2018-08-31,6324,673,591,82
2018-08-31,6327,1427,1273,154
2018-08-31,6328,1159,1008,151
2018-08-31,6329,949,839,110
2018-08-31,6330,776,664,112
2018-08-31,6331,756,637,119
2018-08-31,6332,857,763,94
2018-08-31,6333,655,598,57
2018-08-31,6334,2029,1847,182
2018-08-31,6335,1097,987,110
2018-08-31,6336,869,759,110
2018-08-31,6338,1060,917,143
2018-08-31,6339,767,635,132
2018-08-31,6340,1128,1009,119
2018-08-31,6341,997,884,113
2018-08-31,6343,1005,905,100
2018-08-31,6344,2650,2177,473
2018-08-31,6345,461,387,74
2018-08-31,6346,399,350,49
2018-08-31,6347,656,591,65
2018-08-31,6349,1024,880,144
2018-08-31,6350,145,111,34
2018-08-31,6354,1003,835,168
2018-08-31,6355,842,760,82
2018-08-31,6356,809,684,125
2018-08-31,6357,572,517,55
2018-08-31,6358,821,729,92
2018-08-31,6359,2466,1494,972
2018-08-31,6360,853,729,124
2018-08-31,6361,1151,969,182
2018-08-31,6362,1193,1035,158
2018-08-31,6363,693,620,73
2018-08-31,6364,1247,982,265
2018-08-31,6366,873,698,175
2018-08-31,6367,950,806,144
2018-08-31,6368,1972,1564,408
2018-08-31,6369,699,539,160
2018-08-31,6370,786,679,107
2018-08-31,6371,2144,1770,374
2018-08-31,6372,2330,1875,455
2018-08-31,6373,815,728,87
2018-08-31,6374,699,604,95
2018-08-31,6375,1788,1539,249
2018-08-31,6376,757,654,103
2018-08-31,6377,1239,1100,139
2018-08-31,6379,822,741,81
2018-08-31,6380,694,592,102
2018-08-31,6381,1794,1605,189
2018-08-31,6383,770,644,126
2018-08-31,6384,614,550,64
