date,start_station_code,total_count
2022-10-31,4002.0,1138
2022-10-31,5002.0,1296
2022-10-31,5003.0,415
2022-10-31,5004.0,982
2022-10-31,5006.0,1995
2022-10-31,5007.0,483
2022-10-31,6009.0,110
2022-10-31,6013.0,1295
2022-10-31,6017.0,501
2022-10-31,6021.0,938
2022-10-31,6022.0,668
2022-10-31,6039.0,3215
2022-10-31,6044.0,2883
2022-10-31,6066.0,958
2022-10-31,6068.0,425
2022-10-31,6083.0,518
2022-10-31,6088.0,456
2022-10-31,6089.0,68
2022-10-31,6090.0,114
2022-10-31,6093.0,565
2022-10-31,6094.0,601
2022-10-31,6095.0,4078
2022-10-31,6097.0,704
2022-10-31,6100.0,819
2022-10-31,6103.0,2355
2022-10-31,6110.0,1442
2022-10-31,6111.0,1243
2022-10-31,6134.0,2155
2022-10-31,6136.0,2206
2022-10-31,6138.0,914
2022-10-31,6140.0,1354
2022-10-31,6141.0,858
2022-10-31,6142.0,700
2022-10-31,6143.0,1047
2022-10-31,6145.0,3227
2022-10-31,6146.0,2345
2022-10-31,6147.0,1474
2022-10-31,6148.0,1910
2022-10-31,6149.0,2475
2022-10-31,6152.0,1509
2022-10-31,6153.0,1407
2022-10-31,6154.0,2004
2022-10-31,6155.0,1907
2022-10-31,6156.0,1039
2022-10-31,6157.0,623
2022-10-31,6158.0,2842
2022-10-31,6159.0,2133
2022-10-31,6161.0,1092
2022-10-31,6162.0,606
2022-10-31,6165.0,317
2022-10-31,6166.0,521
2022-10-31,6167.0,5948
2022-10-31,6168.0,2334
2022-10-31,6169.0,4824
2022-10-31,6170.0,1763
2022-10-31,6171.0,2772
2022-10-31,6173.0,7737
2022-10-31,6175.0,1896
2022-10-31,6176.0,1460
2022-10-31,6177.0,1676
2022-10-31,6179.0,2904
2022-10-31,6180.0,2474
2022-10-31,6181.0,2122
2022-10-31,6182.0,1140
2022-10-31,6183.0,2074
2022-10-31,6184.0,1228
2022-10-31,6185.0,616
2022-10-31,6186.0,356
2022-10-31,6187.0,440
2022-10-31,6188.0,525
2022-10-31,6189.0,872
2022-10-31,6190.0,883
2022-10-31,6191.0,572
2022-10-31,6192.0,907
2022-10-31,6193.0,635
2022-10-31,6196.0,786
2022-10-31,6197.0,571
2022-10-31,6198.0,1382
2022-10-31,6199.0,1853
2022-10-31,6200.0,1368
2022-10-31,6201.0,1055
2022-10-31,6203.0,824
2022-10-31,6205.0,811
2022-10-31,6206.0,789
2022-10-31,6207.0,1011
2022-10-31,6208.0,1514
2022-10-31,6210.0,2123
2022-10-31,6211.0,1282
