"department","year","gcc_spending"
"NASA",2000,1590941941.81907
"NSF",2000,256249907.941574
"Commerce (NOAA)",2000,91811464.3427028
"Energy",2000,154846201.055603
"Agriculture",2000,76737940.3461397
"Interior",2000,36998649.8097459
"All Other",2000,104144347.612618
"NASA",2001,1573826900.02397
"NSF",2001,242230160.632942
"Commerce (NOAA)",2001,124460800.767202
"Energy",2001,155241428.91393
"Agriculture",2001,68252697.1949173
"Interior",2001,36133780.8678974
"All Other",2001,112416207.14457
"NASA",2002,1435503126.10593
"NSF",2002,248908340.214699
"Commerce (NOAA)",2002,131697534.505132
"Energy",2002,154086115.371004
"Agriculture",2002,73750619.3228737
"Interior",2002,34241358.9713342
"All Other",2002,117210805.709567
"NASA",2003,1676086121.07883
"NSF",2003,261040398.194235
"Commerce (NOAA)",2003,359253617.316819
"Energy",2003,155073503.877764
"Agriculture",2003,87874985.5307327
"Interior",2003,33599259.1735155
"All Other",2003,116305127.908323
"NASA",2004,1494334124.02575
"NSF",2004,271123912.797922
"Commerce (NOAA)",2004,305172032.079521
"Energy",2004,167718513.498249
"Agriculture",2004,88272901.8411838
"Interior",2004,35309160.7364735
"All Other",2004,122321021.122783
"NASA",2005,1349803526.44836
"NSF",2005,242084328.113022
"Commerce (NOAA)",2005,314220567.298215
"Energy",2005,155276311.466433
"Agriculture",2005,75804183.5505421
"Interior",2005,33011499.2881393
"All Other",2005,113706275.325813
"NASA",2006,1128478150.19092
"NSF",2006,233274077.216801
"Commerce (NOAA)",2006,278271107.339839
"Energy",2006,153937208.315655
"Agriculture",2006,72232074.6711922
"Interior",2006,31971574.03479
"All Other",2006,105387781.077641
"NASA",2007,1249667079.71912
"NSF",2007,238635687.732342
"Commerce (NOAA)",2007,212120611.317637
"Energy",2007,145256505.576208
"Agriculture",2007,70322593.9694341
"Interior",2007,31126394.0520446
"All Other",2007,96837670.3841388
"NASA",2008,1224256550.32878
"NSF",2008,233783308.042489
"Commerce (NOAA)",2008,307193525.543753
"Energy",2008,144561659.079413
"Agriculture",2008,73410217.5012645
"Interior",2008,38399190.6929691
"All Other",2008,47434294.3854325
"NASA",2009,1212410400
"NSF",2009,300311600
"Commerce (NOAA)",2009,473353600
"Energy",2009,175274800
"Agriculture",2009,52470800
"Interior",2009,50238000
"All Other",2009,81497200
"NASA",2010,1242780729.5797
"NSF",2010,354131641.554322
"Commerce (NOAA)",2010,401718080.888184
"Energy",2010,189239095.955591
"Agriculture",2010,125052735.92387
"Interior",2010,69719666.9310071
"All Other",2010,129479381.443299
"NASA",2011,1552092101.42815
"NSF",2011,348488603.905567
"Commerce (NOAA)",2011,370831788.59419
"Energy",2011,202281744.875158
"Agriculture",2011,93168910.9103274
"Interior",2011,69741105.6057515
"All Other",2011,99676634.6060429
"NASA",2012,1514665394.52342
"NSF",2012,355126190.249022
"Commerce (NOAA)",2012,347776548.039309
"Energy",2012,225282511.210762
"Agriculture",2012,122494036.828547
"Interior",2012,62738250.1669688
"All Other",2012,67211945.4250549
"NASA",2013,1418930681.92477
"NSF",2013,330909295.563268
"Commerce (NOAA)",2013,315201575.837164
"Energy",2013,218860894.850389
"Agriculture",2013,112048400.712879
"Interior",2013,57594972.3290498
"All Other",2013,47123159.1783135
"NASA",2014,1468215807.43337
"NSF",2014,322266162.501153
"Commerce (NOAA)",2014,308881305.911648
"Energy",2014,223424144.609425
"Agriculture",2014,114286083.18731
"Interior",2014,55598635.0640967
"All Other",2014,45302591.5337084
"NASA",2015,1454672247.49773
"NSF",2015,336240582.347589
"Commerce (NOAA)",2015,316939763.421292
"Energy",2015,217388171.064604
"Agriculture",2015,97519927.2065514
"Interior",2015,58918289.3539582
"All Other",2015,42664968.1528662
"NASA",2016,1.549e+09
"NSF",2016,3.39e+08
"Commerce (NOAA)",2016,2.83e+08
"Energy",2016,2.38e+08
"Agriculture",2016,9.8e+07
"Interior",2016,5.7e+07
"All Other",2016,4.5e+07
"NASA",2017,1.632e+09
"NSF",2017,3.48e+08
"Commerce (NOAA)",2017,3.42e+08
"Energy",2017,2.42e+08
"Agriculture",2017,1.24e+08
"Interior",2017,6.3e+07
"All Other",2017,49120028.1590989
