"department","year","rd_budget","total_outlays","discretionary_outlays","gdp"
"DOD",1976,3.5696e+10,3.718e+11,1.756e+11,1.79e+12
"NASA",1976,1.2513e+10,3.718e+11,1.756e+11,1.79e+12
"DOE",1976,1.0882e+10,3.718e+11,1.756e+11,1.79e+12
"HHS",1976,9.226e+09,3.718e+11,1.756e+11,1.79e+12
"NIH",1976,8.025e+09,3.718e+11,1.756e+11,1.79e+12
"NSF",1976,2.372e+09,3.718e+11,1.756e+11,1.79e+12
"USDA",1976,1.837e+09,3.718e+11,1.756e+11,1.79e+12
"Interior",1976,1.152e+09,3.718e+11,1.756e+11,1.79e+12
"DOT",1976,1.142e+09,3.718e+11,1.756e+11,1.79e+12
"EPA",1976,9.68e+08,3.718e+11,1.756e+11,1.79e+12
"DOC",1976,8.19e+08,3.718e+11,1.756e+11,1.79e+12
"DHS",1976,0,3.718e+11,1.756e+11,1.79e+12
"VA",1976,4.04e+08,3.718e+11,1.756e+11,1.79e+12
"Other",1976,1.191e+09,3.718e+11,1.756e+11,1.79e+12
"DOD",1977,3.7967e+10,4.092e+11,1.971e+11,2.028e+12
"NASA",1977,1.2553e+10,4.092e+11,1.971e+11,2.028e+12
"DOE",1977,1.3741e+10,4.092e+11,1.971e+11,2.028e+12
"HHS",1977,9.507e+09,4.092e+11,1.971e+11,2.028e+12
"NIH",1977,8.214e+09,4.092e+11,1.971e+11,2.028e+12
"NSF",1977,2.395e+09,4.092e+11,1.971e+11,2.028e+12
"USDA",1977,1.796e+09,4.092e+11,1.971e+11,2.028e+12
"Interior",1977,1.082e+09,4.092e+11,1.971e+11,2.028e+12
"DOT",1977,1.095e+09,4.092e+11,1.971e+11,2.028e+12
"EPA",1977,9.66e+08,4.092e+11,1.971e+11,2.028e+12
"DOC",1977,8.37e+08,4.092e+11,1.971e+11,2.028e+12
"DHS",1977,0,4.092e+11,1.971e+11,2.028e+12
"VA",1977,3.74e+08,4.092e+11,1.971e+11,2.028e+12
"Other",1977,1.28e+09,4.092e+11,1.971e+11,2.028e+12
"DOD",1978,3.7022e+10,4.587e+11,2.187e+11,2.278e+12
"NASA",1978,1.2516e+10,4.587e+11,2.187e+11,2.278e+12
"DOE",1978,1.5663e+10,4.587e+11,2.187e+11,2.278e+12
"HHS",1978,1.0533e+10,4.587e+11,2.187e+11,2.278e+12
"NIH",1978,8.802e+09,4.587e+11,2.187e+11,2.278e+12
"NSF",1978,2.446e+09,4.587e+11,2.187e+11,2.278e+12
"USDA",1978,1.962e+09,4.587e+11,2.187e+11,2.278e+12
"Interior",1978,1.125e+09,4.587e+11,2.187e+11,2.278e+12
"DOT",1978,1.156e+09,4.587e+11,2.187e+11,2.278e+12
"EPA",1978,1.175e+09,4.587e+11,2.187e+11,2.278e+12
"DOC",1978,8.71e+08,4.587e+11,2.187e+11,2.278e+12
"DHS",1978,0,4.587e+11,2.187e+11,2.278e+12
"VA",1978,3.56e+08,4.587e+11,2.187e+11,2.278e+12
"Other",1978,1.237e+09,4.587e+11,2.187e+11,2.278e+12
"DOD",1979,3.7174e+10,5.04e+11,2.4e+11,2.57e+12
"NASA",1979,1.3079e+10,5.04e+11,2.4e+11,2.57e+12
"DOE",1979,1.5612e+10,5.04e+11,2.4e+11,2.57e+12
"HHS",1979,1.0127e+10,5.04e+11,2.4e+11,2.57e+12
"NIH",1979,9.243e+09,5.04e+11,2.4e+11,2.57e+12
"NSF",1979,2.404e+09,5.04e+11,2.4e+11,2.57e+12
"USDA",1979,2.054e+09,5.04e+11,2.4e+11,2.57e+12
"Interior",1979,1.176e+09,5.04e+11,2.4e+11,2.57e+12
"DOT",1979,1.004e+09,5.04e+11,2.4e+11,2.57e+12
"EPA",1979,1.102e+09,5.04e+11,2.4e+11,2.57e+12
"DOC",1979,9.52e+08,5.04e+11,2.4e+11,2.57e+12
"DHS",1979,0,5.04e+11,2.4e+11,2.57e+12
"VA",1979,3.53e+08,5.04e+11,2.4e+11,2.57e+12
"Other",1979,2.321e+09,5.04e+11,2.4e+11,2.57e+12
"DOD",1980,3.7005e+10,5.909e+11,2.763e+11,2.797e+12
"NASA",1980,1.3837e+10,5.909e+11,2.763e+11,2.797e+12
"DOE",1980,1.5226e+10,5.909e+11,2.763e+11,2.797e+12
"HHS",1980,1.0045e+10,5.909e+11,2.763e+11,2.797e+12
"NIH",1980,9.093e+09,5.909e+11,2.763e+11,2.797e+12
"NSF",1980,2.407e+09,5.909e+11,2.763e+11,2.797e+12
"USDA",1980,1.887e+09,5.909e+11,2.763e+11,2.797e+12
"Interior",1980,1.082e+09,5.909e+11,2.763e+11,2.797e+12
"DOT",1980,1.048e+09,5.909e+11,2.763e+11,2.797e+12
"EPA",1980,9.03e+08,5.909e+11,2.763e+11,2.797e+12
"DOC",1980,9.45e+08,5.909e+11,2.763e+11,2.797e+12
"DHS",1980,0,5.909e+11,2.763e+11,2.797e+12
"VA",1980,3.59e+08,5.909e+11,2.763e+11,2.797e+12
"Other",1980,2.468e+09,5.909e+11,2.763e+11,2.797e+12
"DOD",1981,4.1737e+10,6.782e+11,3.079e+11,3.138e+12
"NASA",1981,1.3276e+10,6.782e+11,3.079e+11,3.138e+12
"DOE",1981,1.4798e+10,6.782e+11,3.079e+11,3.138e+12
"HHS",1981,9.644e+09,6.782e+11,3.079e+11,3.138e+12
"NIH",1981,8.58e+09,6.782e+11,3.079e+11,3.138e+12
"NSF",1981,2.3e+09,6.782e+11,3.079e+11,3.138e+12
"USDA",1981,1.964e+09,6.782e+11,3.079e+11,3.138e+12
"Interior",1981,9.9e+08,6.782e+11,3.079e+11,3.138e+12
"DOT",1981,9.78e+08,6.782e+11,3.079e+11,3.138e+12
"EPA",1981,9.01e+08,6.782e+11,3.079e+11,3.138e+12
"DOC",1981,8.29e+08,6.782e+11,3.079e+11,3.138e+12
