gameid,teamid,opposingteamid,compiledgametime,playerid,eventname,outcome,type,possessionid,zone,xcoord,ycoord,teamskatersonicecount,opposingteamskatersonicecount,goal,team_net_empty,opponent_net_empty,scoredifferential
70632,596,724,2859.1333,485421,pass,successful,south,442,nz,-2.7205047607421875,-24.610668182373047,5,5,0,0,0,3
70632,596,724,1023.5333,485421,pass,successful,north,160,oz,31.990310668945312,9.80588150024414,5,4,0,0,0,2
70632,724,596,3112.6667,628757,linecarry,successful,none,470,nz,-24.894119262695312,-28.917648315429688,5,5,0,0,0,-3
70632,724,596,212.2,673651,pass,successful,outlet,30,dz,-73.22361755371094,37.966552734375,5,5,0,0,0,0
70632,596,724,1893.6666,847481,reception,successful,regular,285,dz,-49.090301513671875,-37.46764373779297,5,5,0,0,0,3
70632,596,724,137.46666,812630,reception,successful,regular,19,dz,-62.06756591796875,-38.19007873535156,5,5,0,0,0,0
70632,596,724,1425.8667,92751,pass,failed,d2d,223,dz,-97.40240478515625,1.2407493591308594,5,5,0,0,0,2
70632,596,724,1763.1333,403721,pass,successful,d2d,267,dz,-94.85009765625,-24.90001678466797,4,5,0,0,0,2
70632,596,724,1024.3334,828703,reception,successful,regular,160,oz,45.0667724609375,36.461761474609375,5,4,0,0,0,2
70632,596,724,1894.0,847481,pass,successful,outlet,285,dz,-44.06089782714844,-37.97058868408203,5,5,0,0,0,3
70632,596,724,1763.2,485421,reception,successful,regular,267,dz,-97.36480712890625,-14.841190338134766,4,5,0,0,0,2
70632,596,724,2860.4333,915333,reception,successful,regular,442,nz,-8.75579833984375,40.26874542236328,5,5,0,0,0,3
70632,724,596,3113.8,628757,linecarry,successful,none,470,nz,0.7558822631835938,-28.917648315429688,5,5,0,0,0,-3
70632,596,724,3036.0667,828703,reception,successful,regular,462,nz,-15.288787841796875,-15.844118118286133,5,5,0,0,0,3
70632,724,596,2877.0667,673651,reception,successful,regular,445,dz,-58.59117126464844,35.458824157714844,5,5,0,0,0,-3
70632,596,724,877.43335,424862,pass,successful,stretch,140,dz,-41.94816207885742,-34.95588302612305,5,5,0,0,0,2
70632,724,596,406.13333,698619,shot,successful,outside,66,oz,43.18806076049805,16.619491577148438,5,5,0,0,0,0
70632,596,724,3409.8667,797810,pass,failed,north,525,oz,29.472976684570312,-33.447059631347656,5,5,0,0,0,3
70632,596,724,327.93332,847481,pass,successful,d2d,51,dz,-69.10872650146484,-22.37645721435547,5,5,0,0,0,0
70632,724,596,213.03334,332856,reception,successful,regular,30,dz,-38.017730712890625,14.831256866455078,5,5,0,0,0,0
