teamid,compiledgametime,playerid,xg
724,33.3,628757,0.134103730
724,35.1,838211,0.188982368
724,60.3,628757,0.092400000
724,68.2,288890,0.039566122
724,74.82,288890,0.066700000
724,86.3333,677394,0.073300000
724,87.8,677394,0.055499740
596,95.4,952287,0.061800000
596,207.8,952287,0.006066477
724,235.26666,838211,0.406377345
724,298.43332,677394,0.204156205
724,406.13333,698619,0.033467647
724,481.73334,890686,0.054910667
596,483.5467,952287,0.052500000
596,504.1,485421,0.013470659
724,515.13336,677394,0.008457107
596,675.6667,424862,0.125412986
724,759,628757,0.073630027
596,793.26666,797810,0.484869570
724,827.43335,677394,0.144268841
724,838.6,538217,0.113300748
724,909.63336,154967,0.090407141
596,990.0333,485421,0.003050238
596,1026.5667,828703,0.114808023
596,1049.2333,45223,0.109961279
596,1121.2333,797810,0.105629265
596,1235.8,797810,0.038444795
724,1272.7667,538217,0.099929251
724,1291.2333,154967,0.148213550
596,1379.2667,290779,0.009093820
724,1403.6333,183489,0.138979673
724,1458.0333,154967,0.147573099
596,1596.8667,403721,0.005178757
724,1628.7667,831664,0.019313315
596,1808,797810,0.004219182
724,1836.5,890686,0.361429930
596,2014.1333,511560,0.503786445
596,2015.7667,600730,0.322404295
596,2077.8667,812630,0.119065560
596,2079.9666,952287,0.069275267
724,2211.9666,261698,0.078989409
724,2322.6,673651,0.008854366
596,2468.1,797810,0.041450042
596,2773.5,403721,0.207371727
596,2850.2,812630,0.015701432
596,2873.8667,915333,0.041363232
596,2991.6,600730,0.182546943
596,3129.6667,815413,0.214987889
596,3133.6667,952287,0.015345688
724,3154.3333,154967,0.017790236
596,3170.5667,511560,0.226710021
596,3178.9,952287,0.110118814
596,3179.7,511560,0.235924736
596,3180.2,511560,0.290965974
596,3248.9666,847481,0.011557681
724,3424.8333,698619,0.087425947
724,3466.2,628757,0.099083014
724,3480.2666,303683,0.021970216
724,3526.3667,698619,0.062145520
596,3553.5,290779,0.999534607
724,3591.7334,261698,0.058529291
724,3593.3667,288890,0.092182688
